review_group,supplier_code,source_page,normalized_material_code,description,unit,unit_price,currency,product_family,rated_current,breaking_capacity,pole,source_evidence_text,provenance,review_question,suggested_review_action,human_decision,human_note
LS_PAGE_LIMITATION,LS,2,ABS103C,MCCB LS ABS103c FMU In=20-25-32-40-50-63-80-100-125A Icu=37,cái,2500000,VND,MCCB LS,20-25-32-40-50-63-80-100-125A,37,3P,"ABS103c FMU 20-25-32-40-50-63-80-100-125A 37 2,500,000","Source PDF: Bang gia LS ap dung ngay 15-04-2026.pdf, Page: 2, Layout: split_half_left_right, Method: coordinate_column_profiler",Kiểm tra xem mã phụ kiện và tên mô tả phụ kiện có bị cắt dính chữ không?,Đối chiếu với bản cứng PDF Trang 2,PENDING,
LS_PAGE_LIMITATION,LS,2,EBN104C,"MCCB LS EBN104c In=15,20,30,40,50,60,75,100A Icu=18",cái,4100000,VND,MCCB LS,"15,20,30,40,50,60,75,100A",18,3P,"EBN104c 15,20,30,40,50,60,75,100A 18 4,100,000","Source PDF: Bang gia LS ap dung ngay 15-04-2026.pdf, Page: 2, Layout: split_half_left_right, Method: coordinate_column_profiler",Kiểm tra xem mã phụ kiện và tên mô tả phụ kiện có bị cắt dính chữ không?,Đối chiếu với bản cứng PDF Trang 2,PENDING,
LS_PAGE_LIMITATION,LS,2,ABS203C,MCCB LS ABS203c FMU In=100-125-160-200-250A Icu=37,cái,3850000,VND,MCCB LS,100-125-160-200-250A,37,3P,"ABS203c FMU 100-125-160-200-250A 37 3,850,000","Source PDF: Bang gia LS ap dung ngay 15-04-2026.pdf, Page: 2, Layout: split_half_left_right, Method: coordinate_column_profiler",Kiểm tra xem mã phụ kiện và tên mô tả phụ kiện có bị cắt dính chữ không?,Đối chiếu với bản cứng PDF Trang 2,PENDING,
LS_PAGE_LIMITATION,LS,2,EBS104C,"MCCB LS EBS104c 15,20,30,40,50,60,75,100,125A Icu=37",cái,4700000,VND,MCCB LS,125A,37,3P,"EBS104c 15,20,30,40,50,60,75,100,125A 37 4,700,000","Source PDF: Bang gia LS ap dung ngay 15-04-2026.pdf, Page: 2, Layout: split_half_left_right, Method: coordinate_column_profiler",Kiểm tra xem mã phụ kiện và tên mô tả phụ kiện có bị cắt dính chữ không?,Đối chiếu với bản cứng PDF Trang 2,PENDING,
LS_PAGE_LIMITATION,LS,2,EBS204C,"MCCB LS EBS204c In=125,150,175,200,225,250A Icu=37",cái,9500000,VND,MCCB LS,"125,150,175,200,225,250A",37,3P,"EBS204c 125,150,175,200,225,250A 37 9,500,000","Source PDF: Bang gia LS ap dung ngay 15-04-2026.pdf, Page: 2, Layout: split_half_left_right, Method: coordinate_column_profiler",Kiểm tra xem mã phụ kiện và tên mô tả phụ kiện có bị cắt dính chữ không?,Đối chiếu với bản cứng PDF Trang 2,PENDING,
LS_PAGE_LIMITATION,LS,2,ABS104C,"MCCB LS ABS104c FMU In=20,25,32,40,50,63,80,100,125A Icu=37",cái,2950000,VND,MCCB LS,"20,25,32,40,50,63,80,100,125A",37,3P,"ABS104c FMU 20,25,32,40,50,63,80,100,125A 37 2,950,000","Source PDF: Bang gia LS ap dung ngay 15-04-2026.pdf, Page: 2, Layout: split_half_left_right, Method: coordinate_column_profiler",Kiểm tra xem mã phụ kiện và tên mô tả phụ kiện có bị cắt dính chữ không?,Đối chiếu với bản cứng PDF Trang 2,PENDING,
LS_PAGE_LIMITATION,LS,2,EBN404C,"MCCB LS EBN404c In=250,300,350,400A Icu=37",cái,16600000,VND,MCCB LS,"250,300,350,400A",37,3P,"EBN404c 250,300,350,400A 37 16,600,000","Source PDF: Bang gia LS ap dung ngay 15-04-2026.pdf, Page: 2, Layout: split_half_left_right, Method: coordinate_column_profiler",Kiểm tra xem mã phụ kiện và tên mô tả phụ kiện có bị cắt dính chữ không?,Đối chiếu với bản cứng PDF Trang 2,PENDING,
LS_PAGE_LIMITATION,LS,2,ABS204C,MCCB LS ABS204c FMU In=100-125-160-200-250A Icu=37,cái,4800000,VND,MCCB LS,100-125-160-200-250A,37,3P,"ABS204c FMU 100-125-160-200-250A 37 4,800,000","Source PDF: Bang gia LS ap dung ngay 15-04-2026.pdf, Page: 2, Layout: split_half_left_right, Method: coordinate_column_profiler",Kiểm tra xem mã phụ kiện và tên mô tả phụ kiện có bị cắt dính chữ không?,Đối chiếu với bản cứng PDF Trang 2,PENDING,
LS_PAGE_LIMITATION,LS,2,DH100-S,Phụ kiện LS DH100-S In=for ABN103c,cái,670000,VND,Phụ kiện LS,for ABN103c,,3P,"DH100-S for ABN103c 670,000","Source PDF: Bang gia LS ap dung ngay 15-04-2026.pdf, Page: 2, Layout: split_half_left_right, Method: coordinate_column_profiler",Kiểm tra xem mã phụ kiện và tên mô tả phụ kiện có bị cắt dính chữ không?,Đối chiếu với bản cứng PDF Trang 2,PENDING,
LS_PAGE_LIMITATION,LS,2,SHUNT,Phụ kiện LS Shunt Trip In=for ABN403c~803c,cái,1120000,VND,Phụ kiện LS,for ABN403c~803c,,3P,"Shunt Trip SHT for ABN403c~803c 1,120,000","Source PDF: Bang gia LS ap dung ngay 15-04-2026.pdf, Page: 2, Layout: split_half_left_right, Method: coordinate_column_profiler",Kiểm tra xem mã phụ kiện và tên mô tả phụ kiện có bị cắt dính chữ không?,Đối chiếu với bản cứng PDF Trang 2,PENDING,
